Plaque2	1	2	3	4	5	6	7	8	9	10	11	12
A	14/97/F	14/105/F	14/113/M	14/121/M	12/1/M	12/9/F	12/17/M	12/25/M	12/33/M	12/41/M	12/49/M	12/57/M
B	14/98/F	14/106/F	14/114/M	14/122/F	12/2/M	12/10/F	12/18/M	12/26/F	12/34/M	12/42/M	12/50/M	12/58/M
C	14/99/M	14/107/M	14/115/M	14/123/M	12/3/M	12/11/M	12/19/F	12/27/F	12/35/F	12/43/M	12/51/M	12/59/M
D	14/100/F	14/108/M	14/116/F	14/124/F	12/4/M	12/12/M	12/20/M	12/28/M	12/36/M	12/44/F	12/52/F	12/60/F
E	14/101/F	14/109/M	14/117/M	14/125/F	12/5/M	12/13/M	12/21/M	12/29/M	12/37/M	12/45/F	12/53/F	12/61/F
F	14/102/M	14/110/F	14/118/M	14/126/M	12/6/M	12/14/F	12/22/M	12/30/F	12/38/F	12/46/M	12/54/M	12/62/M
G	14/103/M	14/111/M	14/119/F	14/127/M	12/7/M	12/15/M	12/23/F	12/31/M	12/39/M	12/47/F	12/55/M	12/63/M
H	14/104/M	14/112/F	14/120/M	14/128/F	12/8/M	12/16/M	12/24/M	12/32/M	12/40/M	12/48/F	12/56/M	12/64/M
