Plaque1	1	2	3	4	5	6	7	8	9	10	11	12
A	14/1/M	14/9/F	14/17/F	14/25/F	14/33/F	14/41/M	14/49/F	14/57/F	14/65/F	14/73/M	14/81/M	14/89/F
B	14/2/M	14/10/M	14/18/M	14/26/F	14/34/F	14/42/M	14/50/F	14/58/F	14/66/F	14/74/M	14/82/M	14/90/F
C	14/3/F	14/11/M	14/19/M	14/27/M	14/35/F	14/43/M	14/51/M	14/59/F	14/67/M	14/75/F	14/83/F	14/91/M
D	14/4/F	14/12/M	14/20/M	14/28/F	14/36/F	14/44/F	14/52/F	14/60/M	14/68/M	14/76/M	14/84/M	14/92/M
E	14/5/F	14/13/F	14/21/M	14/29/F	14/37/M	14/45/F	14/53/F	14/61/M	14/69/F	14/77/M	14/85/F	14/93/M
F	14/6/M	14/14/M	14/22/F	14/30/M	14/38/M	14/46/F	14/54/M	14/62/F	14/70/M	14/78/F	14/86/F	14/94/F
G	14/7/M	14/15/F	14/23/M	14/31/M	14/39/F	14/47/M	14/55/F	14/63/M	14/71/F	14/79/F	14/87/M	14/95/F
H	14/8/M	14/16/M	14/24/F	14/32/M	14/40/F	14/48/F	14/56/M	14/64/M	14/72/M	14/80/F	14/88/F	14/96/F

