A_1	14_142_M
A_2	14_150_M
A_3	14_158_M
A_4	14_166_M
A_5	14_174_M
A_6	14_182_M
A_7	14_190_M
A_8	14_198_M
A_9	14_206_M
A_10	14_214_F
A_11	14_222_F
A_12	14_230_F
B_1	14_143_F
B_2	14_151_M
B_3	14_159_M
B_4	14_167_F
B_5	14_175_M
B_6	14_183_M
B_7	14_191_M
B_8	14_199_NA
B_9	14_207_M
B_10	14_215_M
B_11	14_223_F
B_12	14_231_M
C_1	14_144_F
C_2	14_152_M
C_3	14_160_M
C_4	14_168_F
C_5	14_176_M
C_6	14_184_F
C_7	14_192_F
C_8	14_200_F
C_9	14_208_M
C_10	14_216_M
C_11	14_224_M
C_12	14_232_F
D_1	14_145_F
D_2	14_153_F
D_3	14_161_F
D_4	14_169_F
D_5	14_177_M
D_6	14_185_M
D_7	14_193_M
D_8	14_201_NA
D_9	14_209_M
D_10	14_217_F
D_11	14_225_F
D_12	14_233_NA
E_1	14_146_M
E_2	14_154_M
E_3	14_162_F
E_4	14_170_M
E_5	14_178_M
E_6	14_186_F
E_7	14_194_M
E_8	14_202_M
E_9	14_210_M
E_10	14_218_F
E_11	14_226_M
E_12	14_234_M
F_1	14_147_M
F_2	14_155_F
F_3	14_163_M
F_4	14_171_F
F_5	14_179_M
F_6	14_187_M
F_7	14_195_NA
F_8	14_203_M
F_9	14_211_F
F_10	14_219_M
F_11	14_227_NA
F_12	14_235_F
G_1	14_148_M
G_2	14_156_M
G_3	14_164_M
G_4	14_172_F
G_5	14_180_F
G_6	14_188_M
G_7	14_196_F
G_8	14_204_M
G_9	14_212_M
G_10	14_220_M
G_11	14_228_F
G_12	14_236_NA
H_1	14_149_F
H_2	14_157_M
H_3	14_165_M
H_4	14_173_F
H_5	14_181_F
H_6	14_189_F
H_7	14_197_NA
H_8	14_205_F
H_9	14_213_M
H_10	14_221_M
H_11	14_229_M
H_12	14_237_M

