Plaque6	1	2	3	4	5	6	7	8	9	10	11	12
A	13/165/M	13/173/M	13/181/F	13/189/M	13/197/F	13/205/M	13/213/F	13/221/F	13/229/F	13/237/M	13/245/M	14/134/M
B	13/166/M	13/174/F	13/182/F	13/190/F	13/198/M	13/206/NA	13/214/F	13/222/M	13/230/F	13/238/M	13/246/F	14/135/M
C	13/167/F	13/175/F	13/183/M	13/191/M	13/199/M	13/207/M	13/215/M	13/223/M	13/231/F	13/239/M	13/247/F	14/136/F
D	13/168/F	13/176/F	13/184/F	13/192/F	13/200/F	13/208/F	13/216/F	13/224/M	13/232/M	13/240/F	14/129/F	14/137/F
E	13/169/M	13/177/M	13/185/NA	13/193/M	13/201/M	13/209/M	13/217/F	13/225/M	13/233/F	13/241/M	14/131/M	14/138/F
F	13/170/F	13/178/M	13/186/F	13/194/F	13/202/M	13/210/M	13/218/F	13/226/F	13/234/F	13/242/F	14/130/M	14/139/M
G	13/171/M	13/179/F	13/187/M	13/195/F	13/203/F	13/211/F	13/219/F	13/227/M	13/235/F	13/243/M	14/132/M	14/140/F
H	13/172/F	13/180/M	13/188/F	13/196/M	13/204/M	13/212/F	13/220/M	13/228/M	13/236/NA	13/244/F	14/133/M	14/141/F
