A_1	1_103_F
A_2	1_43_M
A_3	12_108_F
A_4	12_73_M
A_5	13_132_F
A_6	13_22_F
A_7	13_62_F
A_8	14_123_M
A_9	14_220_M
A_10	14_72_M
B_1	1_110_M
B_2	1_66_M
B_3	12_113_M
B_4	12_94_M
B_5	13_14_M
B_6	13_229_F
B_7	13_65_M
B_8	14_129_F
B_9	14_23_M
B_10	14_88_F
C_1	1_111_M
C_2	1_7_F
C_3	12_18_M
C_4	12_95_M
C_5	13_140_F
C_6	13_232_M
C_7	13_70_M
C_8	14_157_M
C_9	14_233_NA
C_10	14_91_M
D_1	1_116_F
D_2	1_76_M
D_3	12_22_M
D_4	12_99_F
D_5	13_151_M
D_6	13_244_F
D_7	13_71_M
D_8	14_168_F
D_9	14_234_M
D_10	14_96_F
E_1	1_118_M
E_2	1_89_M
E_3	12_38_F
E_4	13_105_F
E_5	13_156_F
E_6	13_28_M
E_7	13_74_M
E_8	14_192_F
E_9	14_29_F
E_10	9_19_M
F_1	1_120_F
F_2	1_92_M
F_3	12_40_M
F_4	13_107_F
F_5	13_166_M
F_6	13_30_F
F_7	13_88_F
F_8	14_197_NA
F_9	14_30_M
F_10	9_29_M
G_1	1_126_F
G_2	1_94_F
G_3	12_52_F
G_4	13_11_F
G_5	13_170_F
G_6	13_32_F
G_7	14_106_F
G_8	14_202_M
G_9	14_49_F
G_10	9_33_F
H_1	1_136_M
H_2	12_103_M
H_3	12_56_M
H_4	13_125_M
H_5	13_173_M
H_6	13_42_F
H_7	14_122_F
H_8	14_213_M
H_9	14_66_F
H_10	9_6_F

