A_1	14_1_M
A_2	14_9_F
A_3	14_17_F
A_4	14_25_F
A_5	14_33_F
A_6	14_41_M
A_7	14_49_F
A_8	14_57_F
A_9	14_65_F
A_10	14_73_M
A_11	14_81_M
A_12	14_89_F
B_1	14_2_M
B_2	14_10_M
B_3	14_18_M
B_4	14_26_F
B_5	14_34_F
B_6	14_42_M
B_7	14_50_F
B_8	14_58_F
B_9	14_66_F
B_10	14_74_M
B_11	14_82_M
B_12	14_90_F
C_1	14_3_F
C_2	14_11_M
C_3	14_19_M
C_4	14_27_M
C_5	14_35_F
C_6	14_43_M
C_7	14_51_M
C_8	14_59_F
C_9	14_67_M
C_10	14_75_F
C_11	14_83_F
C_12	14_91_M
D_1	14_4_F
D_2	14_12_M
D_3	14_20_M
D_4	14_28_F
D_5	14_36_F
D_6	14_44_F
D_7	14_52_F
D_8	14_60_M
D_9	14_68_M
D_10	14_76_M
D_11	14_84_M
D_12	14_92_M
E_1	14_5_F
E_2	14_13_F
E_3	14_21_M
E_4	14_29_F
E_5	14_37_M
E_6	14_45_F
E_7	14_53_F
E_8	14_61_M
E_9	14_69_F
E_10	14_77_M
E_11	14_85_F
E_12	14_93_M
F_1	14_6_M
F_2	14_14_M
F_3	14_22_F
F_4	14_30_M
F_5	14_38_M
F_6	14_46_F
F_7	14_54_M
F_8	14_62_F
F_9	14_70_M
F_10	14_78_F
F_11	14_86_F
F_12	14_94_F
G_1	14_7_M
G_2	14_15_F
G_3	14_23_M
G_4	14_31_M
G_5	14_39_F
G_6	14_47_M
G_7	14_55_F
G_8	14_63_M
G_9	14_71_F
G_10	14_79_F
G_11	14_87_M
G_12	14_95_F
H_1	14_8_M
H_2	14_16_M
H_3	14_24_F
H_4	14_32_M
H_5	14_40_F
H_6	14_48_F
H_7	14_56_M
H_8	14_64_M
H_9	14_72_M
H_10	14_80_F
H_11	14_88_F
H_12	14_96_F

