A_1	13_165_M
A_2	13_173_M
A_3	13_181_F
A_4	13_189_M
A_5	13_197_F
A_6	13_205_M
A_7	13_213_F
A_8	13_221_F
A_9	13_229_F
A_10	13_237_M
A_11	13_245_M
A_12	14_134_M
B_1	13_166_M
B_2	13_174_F
B_3	13_182_F
B_4	13_190_F
B_5	13_198_M
B_6	13_206_NA
B_7	13_214_F
B_8	13_222_M
B_9	13_230_F
B_10	13_238_M
B_11	13_246_F
B_12	14_135_M
C_1	13_167_F
C_2	13_175_F
C_3	13_183_M
C_4	13_191_M
C_5	13_199_M
C_6	13_207_M
C_7	13_215_M
C_8	13_223_M
C_9	13_231_F
C_10	13_239_M
C_11	13_247_F
C_12	14_136_F
D_1	13_168_F
D_2	13_176_F
D_3	13_184_F
D_4	13_192_F
D_5	13_200_F
D_6	13_208_F
D_7	13_216_F
D_8	13_224_M
D_9	13_232_M
D_10	13_240_F
D_11	14_129_F
D_12	14_137_F
E_1	13_169_M
E_2	13_177_M
E_3	13_185_NA
E_4	13_193_M
E_5	13_201_M
E_6	13_209_M
E_7	13_217_F
E_8	13_225_M
E_9	13_233_F
E_10	13_241_M
E_11	14_131_M
E_12	14_138_F
F_1	13_170_F
F_2	13_178_M
F_3	13_186_F
F_4	13_194_F
F_5	13_202_M
F_6	13_210_M
F_7	13_218_F
F_8	13_226_F
F_9	13_234_F
F_10	13_242_F
F_11	14_130_M
F_12	14_139_M
G_1	13_171_M
G_2	13_179_F
G_3	13_187_M
G_4	13_195_F
G_5	13_203_F
G_6	13_211_F
G_7	13_219_F
G_8	13_227_M
G_9	13_235_F
G_10	13_243_M
G_11	14_132_M
G_12	14_140_F
H_1	13_172_F
H_2	13_180_M
H_3	13_188_F
H_4	13_196_M
H_5	13_204_M
H_6	13_212_F
H_7	13_220_M
H_8	13_228_M
H_9	13_236_NA
H_10	13_244_F
H_11	14_133_M
H_12	14_141_F

