Plaque5	1	2	3	4	5	6	7	8	9	10	11	12
A	13/69/M	13/77/M	13/85/M	13/93/M	13/101/M	13/109/F	13/117/F	13/125/M	13/133/M	13/141/NA	13/149/F	13/157/M
B	13/70/M	13/78/M	13/86/M	13/94/F	13/102/M	13/110/F	13/118/M	13/126/F	13/134/F	13/142/F	13/150/F	13/158/M
C	13/71/M	13/79/F	13/87/F	13/95/F	13/103/F	13/111/F	13/119/M	13/127/F	13/135/M	13/143/M	13/151/M	13/159/F
D	13/72/M	13/80/F	13/88/F	13/96/M	13/104/M	13/112/M	13/120/F	13/128/M	13/136/M	13/144/M	13/152/F	13/160/F
E	13/73/M	13/81/F	13/89/M	13/97/M	13/105/F	13/113/M	13/121/F	13/129/F	13/137/F	13/145/F	13/153/M	13/161/M
F	13/74/M	13/82/M	13/90/M	13/98/M	13/106/F	13/114/F	13/122/M	13/130/F	13/138/F	13/146/M	13/154/F	13/162/M
G	13/75/M	13/83/M	13/91/F	13/99/M	13/107/F	13/115/F	13/123/F	13/131/M	13/139/F	13/147/F	13/155/M	13/163/M
H	13/76/F	13/84/F	13/92/M	13/100/F	13/108/F	13/116/M	13/124/F	13/132/F	13/140/F	13/148/M	13/156/F	13/164/M
