A_1	13_69_M
A_2	13_77_M
A_3	13_85_M
A_4	13_93_M
A_5	13_101_M
A_6	13_109_F
A_7	13_117_F
A_8	13_125_M
A_9	13_133_M
A_10	13_141_NA
A_11	13_149_F
A_12	13_157_M
B_1	13_70_M
B_2	13_78_M
B_3	13_86_M
B_4	13_94_F
B_5	13_102_M
B_6	13_110_F
B_7	13_118_M
B_8	13_126_F
B_9	13_134_F
B_10	13_142_F
B_11	13_150_F
B_12	13_158_M
C_1	13_71_M
C_2	13_79_F
C_3	13_87_F
C_4	13_95_F
C_5	13_103_F
C_6	13_111_F
C_7	13_119_M
C_8	13_127_F
C_9	13_135_M
C_10	13_143_M
C_11	13_151_M
C_12	13_159_F
D_1	13_72_M
D_2	13_80_F
D_3	13_88_F
D_4	13_96_M
D_5	13_104_M
D_6	13_112_M
D_7	13_120_F
D_8	13_128_M
D_9	13_136_M
D_10	13_144_M
D_11	13_152_F
D_12	13_160_F
E_1	13_73_M
E_2	13_81_F
E_3	13_89_M
E_4	13_97_M
E_5	13_105_F
E_6	13_113_M
E_7	13_121_F
E_8	13_129_F
E_9	13_137_F
E_10	13_145_F
E_11	13_153_M
E_12	13_161_M
F_1	13_74_M
F_2	13_82_M
F_3	13_90_M
F_4	13_98_M
F_5	13_106_F
F_6	13_114_F
F_7	13_122_M
F_8	13_130_F
F_9	13_138_F
F_10	13_146_M
F_11	13_154_F
F_12	13_162_M
G_1	13_75_M
G_2	13_83_M
G_3	13_91_F
G_4	13_99_M
G_5	13_107_F
G_6	13_115_F
G_7	13_123_F
G_8	13_131_M
G_9	13_139_F
G_10	13_147_F
G_11	13_155_M
G_12	13_163_M
H_1	13_76_F
H_2	13_84_F
H_3	13_92_M
H_4	13_100_F
H_5	13_108_F
H_6	13_116_M
H_7	13_124_F
H_8	13_132_F
H_9	13_140_F
H_10	13_148_M
H_11	13_156_F
H_12	13_164_M

