Plaque4	1	2	3	4	5	6	7	8	9	10	11	12
A	1/61/M	1/69/M	1/77/M	1/85/F	13/5/M	13/13/F	13/21/F	13/29/M	13/37/F	13/45/M	13/53/F	13/61/M
B	1/62/M	1/70/M	1/78/M	1/86/M	13/6/F	13/14/M	13/22/F	13/30/F	13/38/M	13/46/F	13/54/F	13/62/F
C	1/63/M	1/71/M	1/79/M	1/87/F	13/7/M	13/15/F	13/23/M	13/31/F	13/39/M	13/47/M	13/55/F	13/63/M
D	1/64/M	1/72/M	1/80/M	1/88/F	13/8/F	13/16/M	13/24/M	13/32/F	13/40/F	13/48/M	13/56/F	13/64/M
E	1/65/F	1/73/M	1/81/M	13/1/NA	13/9/F	13/17/F	13/25/F	13/33/M	13/41/M	13/49/F	13/57/F	13/65/M
F	1/66/M	1/74/M	1/82/M	13/2/F	13/10/M	13/18/M	13/26/M	13/34/F	13/42/F	13/50/M	13/58/M	13/66/M
G	1/67/M	1/75/F	1/83/M	13/3/M	13/11/F	13/19/M	13/27/F	13/35/F	13/43/F	13/51/M	13/59/M	13/67/F
H	1/68/M	1/76/M	1/84/M	13/4/F	13/12/F	13/20/F	13/28/M	13/36/M	13/44/F	13/52/F	13/60/F	13/68/F
