Plaque7	1	2	3	4	5	6	7	8	9	10	11	12
A	14/142/M	14/150/M	14/158/M	14/166/M	14/174/M	14/182/M	14/190/M	14/198/M	14/206/M	14/214/F	14/222/F	14/230/F
B	14/143/F	14/151/M	14/159/M	14/167/F	14/175/M	14/183/M	14/191/M	14/199/NA	14/207/M	14/215/M	14/223/F	14/231/M
C	14/144/F	14/152/M	14/160/M	14/168/F	14/176/M	14/184/F	14/192/F	14/200/F	14/208/M	14/216/M	14/224/M	14/232/F
D	14/145/F	14/153/F	14/161/F	14/169/F	14/177/M	14/185/M	14/193/M	14/201/NA	14/209/M	14/217/F	14/225/F	14/233/NA
E	14/146/M	14/154/M	14/162/F	14/170/M	14/178/M	14/186/F	14/194/M	14/202/M	14/210/M	14/218/F	14/226/M	14/234/M
F	14/147/M	14/155/F	14/163/M	14/171/F	14/179/M	14/187/M	14/195/NA	14/203/M	14/211/F	14/219/M	14/227/NA	14/235/F
G	14/148/M	14/156/M	14/164/M	14/172/F	14/180/F	14/188/M	14/196/F	14/204/M	14/212/M	14/220/M	14/228/F	14/236/NA
H	14/149/F	14/157/M	14/165/M	14/173/F	14/181/F	14/189/F	14/197/NA	14/205/F	14/213/M	14/221/M	14/229/M	14/237/M
