Plaque3	1	2	3	4	5	6	7	8	9	10	11	12
A	12/65/M	12/73/M	12/81/F	12/89/M	12/97/F	1/5/F	1/13/F	1/21/F	1/29/M	1/37/M	1/45/F	1/53/M
B	12/66/F	12/74/F	12/82/F	12/90/M	12/98/M	1/6/M	1/14/M	1/22/M	1/30/M	1/38/M	1/46/F	1/54/F
C	12/67/M	12/75/M	12/83/M	12/91/F	12/99/F	1/7/F	1/15/M	1/23/M	1/31/F	1/39/F	1/47/M	1/55/F
D	12/68/M	12/76/F	12/84/F	12/92/M	12/100/M	1/8/M	1/16/M	1/24/F	1/32/M	1/40/M	1/48/M	1/56/F
E	12/69/M	12/77/M	12/85/M	12/93/M	1/1/M	1/9/F	1/17/F	1/25/F	1/33/NA	1/41/M	1/49/M	1/57/F
F	12/70/F	12/78/M	12/86/M	12/94/M	1/2/F	1/10/M	1/18/F	1/26/M	1/34/F	1/42/F	1/50/M	1/58/M
G	12/71/F	12/79/M	12/87/M	12/95/M	1/3/M	1/11/M	1/19/M	1/27/M	1/35/M	1/43/M	1/51/M	1/59/F
H	12/72/M	12/80/M	12/88/M	12/96/F	1/4/M	1/12/M	1/20/M	1/28/M	1/36/M	1/44/F	1/52/M	1/60/F
